,CVEGEO,NOMASEN,CP,geometry
0,1102012567850,['COLONIA LATINOAMERICANA'],[37660],"POLYGON ((-101.70679266899998 21.032243707000113, -101.70662674999994 21.03223708100005, -101.70651117999995 21.03223603000003, -101.70609178799998 21.03223076700005, -101.70564681899998 21.03222518100005, -101.70492667999997 21.032211021000034, -101.70486868099994 21.031929342000037, -101.704836979 21.03177538100004, -101.70480038499994 21.031558351000047, -101.70478368899995 21.031459321000067, -101.70475947999995 21.031353460000062, -101.70467527899996 21.03089514100007, -101.70465919099996 21.030807582000023, -101.70464396899996 21.030724719999988, -101.70467756499994 21.03054605500009, -101.70468065899996 21.03052960100009, -101.70467611999999 21.030421710000024, -101.70419662899997 21.03044337000007, -101.70415133899996 21.03044195100008, -101.70376391899998 21.030449600000075, -101.703750142 21.03044986900007, -101.70354434899997 21.029253140000034, -101.70339428399996 21.028395881000044, -101.70337900899995 21.028311122000016, -101.70335457399995 21.028175511000043, -101.70352893099994 21.028174721, -101.70342538899996 21.0277076830001, -101.70340585599996 21.02758022800004, -101.70327940099997 21.026887886000107, -101.70319789399997 21.026441632000083, -101.70331817299996 21.026440781000073, -101.70532086199995 21.026426609000097, -101.70556262999997 21.02642660900008, -101.70556929599996 21.0264676300001, -101.70562454999998 21.02680763100005, -101.70569917899996 21.02733877000002, -101.70574148999998 21.027639770000075, -101.70587876099995 21.02836439300005, -101.70707502699997 21.028399443000083, -101.70727887399994 21.028349372000044, -101.70738079799997 21.02834436500009, -101.70769193499996 21.028409458000056, -101.70844831699998 21.028394436000053, -101.70849659699996 21.02867483800004, -101.70889892799994 21.03056252300008, -101.70922901999995 21.032137481000063, -101.70926003299996 21.03227511500007, -101.70926568999994 21.032300220000025, -101.70889093899996 21.032292150000018, -101.70877996399997 21.032289768000048, -101.70870417899994 21.032288141000063, -101.70843904999998 21.032282431000052, -101.70834446199996 21.032280400000054, -101.70806119899999 21.032274311000048, -101.70794128499995 21.032271723000076, -101.70793471999997 21.032271580000025, -101.70787994099999 21.032270403000073, -101.70743316999994 21.032260800000103, -101.70739917999998 21.03226006000005, -101.70696599899998 21.032250741000045, -101.70679266899998 21.032243707000113))"
1,1102004516301,['SAN JUAN DE ABAJO'],[37684],"POLYGON ((-101.63259665899994 21.05957326000004, -101.63263801999994 21.058995081000038, -101.63187359899996 21.058971150000076, -101.63037816999997 21.058924341000033, -101.62880656999994 21.058864120000052, -101.62893051899994 21.058057250000076, -101.62901008899996 21.05753925100006, -101.62908145999995 21.05707460100002, -101.62920954899994 21.056240661000047, -101.62935511999996 21.0552930800001, -101.62944604999996 21.054787421000082, -101.62951070899999 21.05442765000005, -101.629738859 21.053131550000053, -101.62982094999995 21.052687951000053, -101.62988096899996 21.05236368100002, -101.62991559899996 21.05225834000005, -101.62992797899996 21.052220661000042, -101.63008956999994 21.051171860000068, -101.63018387999995 21.050559631000045, -101.63019017999994 21.050518742000076, -101.63026097999995 21.050151541000062, -101.63034230899996 21.049729850000098, -101.63041810999994 21.04933678000003, -101.63167819999995 21.049530771000022, -101.63316161999995 21.049759110000053, -101.63338644899994 21.05018688000009, -101.63357150899998 21.050538970000062, -101.63368944999996 21.050615751000063, -101.63373581999997 21.050709231, -101.63382805999998 21.050895250000075, -101.63386636899997 21.051102280000073, -101.63391407999995 21.051320651000022, -101.63391671899996 21.051571311000053, -101.63391711899999 21.05160968100007, -101.63393119299998 21.051887851000053, -101.63392122899995 21.05201694100004, -101.63391027999995 21.05212651100006, -101.63387102499996 21.05228406800011, -101.633846711 21.05238166, -101.63377001899994 21.052634081000093, -101.63374131999996 21.05270110700008, -101.63371279899997 21.052767721000073, -101.63364885999994 21.052854480000068, -101.63345487899994 21.053126491000054, -101.633406 21.053174800000036, -101.63383595 21.05318322000004, -101.63430526099995 21.053192401000047, -101.63425877999998 21.05359542100004, -101.63424288899995 21.053733140000087, -101.63422448999995 21.053892570000087, -101.63418345899998 21.05424835100008, -101.63413793899997 21.054643090000088, -101.63409634999994 21.05500355000007, -101.63409034899996 21.05505558000006, -101.63404805999994 21.05542231000005, -101.63403637 21.05552357100003, -101.63398373999996 21.05598, -101.63397934899996 21.056017920000038, -101.63394413899994 21.056323230000032, -101.63393265999997 21.05642280100007, -101.63392077999998 21.056525740000023, -101.63388841899996 21.056806351000095, -101.63388482899995 21.05683743000004, -101.63383856999997 21.05723851100004, -101.63383577999997 21.057262681000118, -101.633828769 21.057299480000047, -101.63374953899995 21.057715060000103, -101.63374410899996 21.057743490000092, -101.63371694999995 21.05799694000007, -101.63369271899995 21.05822314100003, -101.63366881999997 21.058446170000032, -101.63364693999995 21.05865038000006, -101.63361085899999 21.058987061000032, -101.63355630899997 21.059621401000076, -101.63259665899994 21.05957326000004))"
2,1102004516886,['SAN JUAN DE ABAJO'],[37684],"POLYGON ((-101.63374131999996 21.05270110700008, -101.63377001899994 21.052634081000093, -101.633846711 21.05238166, -101.63387102499996 21.05228406800011, -101.63391027999995 21.05212651100006, -101.63392122899995 21.05201694100004, -101.63393119299998 21.051887851000053, -101.63391711899999 21.05160968100007, -101.63391671899996 21.051571311000053, -101.63391407999995 21.051320651000022, -101.63386636899997 21.051102280000073, -101.63382805999998 21.050895250000075, -101.63386482399994 21.050895050000072, -101.63401300099997 21.050894236000044, -101.63428290399997 21.050892754000085, -101.63462712699999 21.05089086300009, -101.63462712699999 21.05120054000001, -101.63627166599997 21.051264348000064, -101.63627801299998 21.051212418000034, -101.63880526299994 21.051230223000065, -101.63862884899999 21.052109127000058, -101.63857796999999 21.05237862100007, -101.63619071999995 21.052366954000036, -101.63614822799997 21.05279340700005, -101.63374131999996 21.05270110700008))"
3,1102004516299,['SAN JUAN DE ABAJO'],[37684],"POLYGON ((-101.63355630899997 21.059621401000076, -101.63361085899999 21.058987061000032, -101.63364693999995 21.05865038000006, -101.63366881999997 21.058446170000032, -101.63369271899995 21.05822314100003, -101.63371694999995 21.05799694000007, -101.63374410899996 21.057743490000092, -101.63374953899995 21.057715060000103, -101.633828769 21.057299480000047, -101.63383577999997 21.057262681000118, -101.63383856999997 21.05723851100004, -101.63388482899995 21.05683743000004, -101.63388841899996 21.056806351000095, -101.63392077999998 21.056525740000023, -101.63393265999997 21.05642280100007, -101.63394413899994 21.056323230000032, -101.63397934899996 21.056017920000038, -101.63398373999996 21.05598, -101.63403637 21.05552357100003, -101.63404805999994 21.05542231000005, -101.63409034899996 21.05505558000006, -101.63409634999994 21.05500355000007, -101.63413793899997 21.054643090000088, -101.63418345899998 21.05424835100008, -101.63422448999995 21.053892570000087, -101.63424288899995 21.053733140000087, -101.63425877999998 21.05359542100004, -101.63430526099995 21.053192401000047, -101.63383595 21.05318322000004, -101.633406 21.053174800000036, -101.63345487899994 21.053126491000054, -101.63364885999994 21.052854480000068, -101.63371279899997 21.052767721000073, -101.63374131999996 21.05270110700008, -101.63614822799997 21.05279340700005, -101.63619071999995 21.052366954000036, -101.63857796999999 21.05237862100007, -101.64113331899996 21.052335680000056, -101.64155551999994 21.052543461000045, -101.64155465899995 21.052833261000057, -101.64155284599997 21.053444052000042, -101.64154979999995 21.054471050000092, -101.64155043299996 21.054858536000054, -101.64154284599994 21.05502106100006, -101.64154867099995 21.055153548000064, -101.64155162599997 21.055440080000025, -101.64155411699994 21.055584664000037, -101.64154587799999 21.055874428000042, -101.64154178299998 21.056127912000026, -101.64149988199995 21.056133536000065, -101.64150655299994 21.056506031000048, -101.64150517699994 21.05655312200002, -101.64150317899998 21.057058691000076, -101.64150031899999 21.05802325100007, -101.64149885899997 21.058516281000042, -101.64148408999995 21.059183321000063, -101.64148268899999 21.059657260000044, -101.64130285999995 21.05965745100009, -101.64087607999996 21.059657880000024, -101.64084387899999 21.05967434100006, -101.64077879899997 21.05972017000006, -101.64013688199998 21.059730700000042, -101.63895304899995 21.059750110000014, -101.63764893799998 21.059788585000035, -101.63756973899996 21.059790921000047, -101.63757416999994 21.05975786000003, -101.637467739 21.05974625000006, -101.63741219899998 21.05974018100006, -101.63725785999998 21.059723342000034, -101.63600933999999 21.059680400000055, -101.63511117899998 21.059652431000096, -101.63355630899997 21.059621401000076))"
4,1102004517954,['SAN JUAN DE ABAJO'],[37684],"POLYGON ((-101.64155043299996 21.054858536000054, -101.64429069 21.054797650000058, -101.64485395299994 21.055213170000073, -101.64485137799994 21.055217900000052, -101.64468765699996 21.055518552000024, -101.64453745399999 21.055533571000105, -101.644526725 21.055773872000046, -101.64407343099998 21.055866486000085, -101.64362013799996 21.055914046000073, -101.64341561999998 21.055937513000075, -101.64343640699997 21.05615622200004, -101.64348870999999 21.056243206000037, -101.643550399 21.056297022000027, -101.64362013799996 21.056464731000087, -101.64150517699994 21.05655312200002, -101.64150655299994 21.056506031000048, -101.64149988199995 21.056133536000065, -101.64154178299998 21.056127912000026, -101.64154587799999 21.055874428000042, -101.64155411699994 21.055584664000037, -101.64155162599997 21.055440080000025, -101.64154867099995 21.055153548000064, -101.64154284599994 21.05502106100006, -101.64155043299996 21.054858536000054))"
5,1102004297846,['SAN FRANCISCO DE DURÁN (SAN AGUSTÍN MIRASOL)'],[37688],"POLYGON ((-101.62595264899994 21.010458044000067, -101.62521772199996 21.010242710000053, -101.62419848399998 21.009982305000047, -101.62418664199998 21.009979362000042, -101.62321142999998 21.009736923000073, -101.62244431899995 21.00955664400005, -101.62130169799997 21.009266192000055, -101.62073306899998 21.009120965000033, -101.62038974599994 21.008980746000105, -101.61977820199996 21.00982706500001, -101.61859803099998 21.00942644100009, -101.61814205499996 21.009201090000058, -101.61833517499997 21.008825504000093, -101.61846928399996 21.00839483200002, -101.61850147099995 21.00818950900006, -101.61848001399994 21.007904062000062, -101.61836199599998 21.007848976000048, -101.61749832499999 21.007483402000048, -101.61662392499996 21.007117827000073, -101.61614649099994 21.006892473000047, -101.61603383899995 21.006817355000088, -101.61593728099996 21.006722204000035, -101.61585681399998 21.006612031000042, -101.61579780499994 21.006506866000063, -101.61579561699995 21.006498401000037, -101.61576025399995 21.006361637000083, -101.61574952599995 21.006246455000074, -101.61597482999998 21.004849242000052, -101.61606602499995 21.004298366000054, -101.61617331399998 21.00357721700008, -101.61618940799997 21.00346704, -101.616178678 21.003356865000075, -101.61616258599997 21.003276737000068, -101.61611966899994 21.00318659300006, -101.61628060199996 21.003066401000066, -101.61657832699996 21.000988062000047, -101.616897511 20.998989823000034, -101.617959666 20.999395481000043, -101.61854438599994 20.999655905000047, -101.61934904899994 20.99997141500007, -101.61991767799998 21.000201790000034, -101.62056140699997 21.00048725100006, -101.62167184199996 21.000932971000047, -101.62219218999996 21.00113329400007, -101.62243895499995 21.00122343900009, -101.62303440599999 21.001448804000088, -101.62312023499999 21.00142376300005, -101.62389807699998 21.001669157000038, -101.624187754 21.001739271000105, -101.62414483899994 21.002480461000072, -101.62424676399996 21.002205020000094, -101.62433259399995 21.002069803000072, -101.62447206899998 21.002034746000064, -101.62516944399994 21.002435389000038, -101.62416093199994 21.003972848000046, -101.62405900899995 21.003907744000063, -101.62404291499996 21.00403795200003, -101.62404827899996 21.004138112000085, -101.62407510199995 21.00428835100009, -101.62406973699996 21.00442857300005, -101.62384443199994 21.005254885000056, -101.62395172099997 21.005335013000046, -101.62434868799994 21.00500448900004, -101.62459545099995 21.00496442500003, -101.62449889099997 21.00545520300006, -101.62497095899994 21.005495267000047, -101.62553958899997 21.0055753930001, -101.62513725799994 21.00749842600004, -101.62544302899994 21.00743332300005, -101.62558786899996 21.007438330000085, -101.62595801199996 21.00781892900002, -101.62589900499995 21.008164470000068, -101.62590436799996 21.008279651000052, -101.62595264699996 21.008354768000036, -101.62601702099994 21.008389823000087, -101.626365708 21.00845492400003, -101.62595264899994 21.010458044000067))"
6,1102000017456,['LOS HÉROES LEÓN'],[37544],"POLYGON ((-101.55668086999998 21.070109563000077, -101.55666210599998 21.069965623000073, -101.55635659399996 21.06762188600006, -101.55758587699995 21.067508585000034, -101.55808055499995 21.067464077000068, -101.55817138499998 21.06722494300005, -101.55819626099998 21.06715945300004, -101.55873930599995 21.067349667, -101.55831130999997 21.068469411000024, -101.55751961899995 21.070545272000075, -101.55668086999998 21.070109563000077))"
7,1102000015943,['HACIENDA SANTA FE'],[37296],"POLYGON ((-101.61075958 21.129288541000047, -101.61109854999995 21.128988451000104, -101.61133861999998 21.128795081000074, -101.61151127899996 21.12854777000007, -101.61230359899997 21.127889630000013, -101.61257019999995 21.12758602, -101.61280710899996 21.12734166000007, -101.61286224899999 21.12736682100008, -101.61556937699999 21.12862020600004, -101.61580809299994 21.128727787000088, -101.61826557099994 21.129851594000034, -101.61785001899995 21.13027860000008, -101.61648586399997 21.131679989000087, -101.61636639199997 21.13180272100006, -101.61364582899995 21.13056477100005, -101.61106225899994 21.129398220000063, -101.61075958 21.129288541000047))"
8,1102000016053,['JARDINES DE LOS REYES'],[37294],"POLYGON ((-101.58898888099998 21.10992678700007, -101.58908720099998 21.10968604100004, -101.58922573899997 21.109323660000033, -101.58960137999998 21.109575430000092, -101.58971684799997 21.10965282000008, -101.59006190899999 21.10988191100009, -101.59040773999999 21.110114380000056, -101.59070453899996 21.110319971000035, -101.59060581099999 21.110553437000082, -101.59079088399994 21.110620199000042, -101.59063246499994 21.110980877000035, -101.58898888099998 21.10992678700007))"
9,1102000017719,['FRACCIONES DE SANTA LUCÍA'],[37564],"POLYGON ((-101.69147103399996 21.06741571300006, -101.69165050599997 21.06705409500008, -101.69177683499998 21.066799556000067, -101.69248970999996 21.065363172000044, -101.69357707899998 21.065599460000094, -101.69440384999996 21.065773908000047, -101.69500667399996 21.065901101000065, -101.695339855 21.065971398000045, -101.69580635299997 21.066069823000092, -101.69568842399997 21.066388577000055, -101.69533964899995 21.06733130600002, -101.69421848499996 21.06701843900002, -101.69399854099998 21.067711747000043, -101.69254478599998 21.06729626400007, -101.69241566499994 21.067722558000085, -101.69147103399996 21.06741571300006))"
